[93, 215, 31, 166.59334, 0.0041225967, 0, -1;
 71, 324, 31, 168.78398, 0.0032156236, 0, -1;
 630, 455, 31, 265.77939, 0.0033506854, 0, -1;
 710, 402, 31, 226.28484, 0.0033520442, 0, -1;
 745, 275, 31, 338.37186, 0.0039726966, 0, -1;
 741, 341, 31, 1.2073215, 0.0033384615, 0, -1;
 94, 213, 31, 119.89364, 0.0029772392, 0, -1;
 740, 253, 31, 323.66516, 0.0046043941, 0, -1;
 75, 340, 31, 192.46024, 0.0047890628, 0, -1;
 722, 383, 31, 55.107986, 0.0035071201, 0, -1;
 746, 317, 31, 347.67749, 0.0035104104, 0, -1;
 681, 430, 31, 184.06671, 0.0032286402, 0, -1;
 746, 282, 31, 354.7251, 0.0034256913, 0, -1;
 728, 223, 31, 344.80402, 0.0034005432, 0, -1;
 740, 348, 31, 27.524727, 0.00433964, 0, -1;
 735, 238, 31, 299.15723, 0.0039749616, 0, -1;
 747, 298, 31, 23.291191, 0.0036701043, 0, -1;
 745, 277, 31, 332.99179, 0.0030323663, 0, -1;
 726, 378, 31, 4.2973676, 0.0044351756, 0, -1;
 724, 384, 31, 40.308922, 0.0031769301, 0, -1;
 71, 321, 31, 157.32722, 0.0031236117, 0, -1;
 926, 174, 31, 94.129532, 0.00366565, 0, -1;
 90, 221, 31, 200.29208, 0.0033378806, 0, -1;
 77, 250, 31, 200.57938, 0.0029890165, 0, -1;
 739, 251, 31, 332.78461, 0.0047788331, 0, -1;
 735, 236, 31, 326.56073, 0.0036679904, 0, -1;
 77, 252, 31, 217.88925, 0.0031140456, 0, -1;
 74, 337, 31, 184.18301, 0.0038551581, 0, -1;
 741, 338, 31, 4.5285597, 0.0033460339, 0, -1;
 70, 299, 31, 182.52554, 0.0044241711, 0, -1;
 728, 376, 31, 14.631589, 0.0036077001, 0, -1;
 534, 455, 31, 353.1947, 0.0030862787, 0, -1;
 456, 455, 31, 271.62503, 0.0030894221, 0, -1;
