[856, 390, 31, 283.4895, 0.0044686487, 0, -1;
 764, 300, 31, 37.584324, 0.0031732772, 0, -1;
 775, 299, 31, 328.43979, 0.0038034571, 0, -1;
 191, 352, 31, 224.86346, 0.0042805471, 0, -1;
 207, 347, 31, 290.60925, 0.0035193677, 0, -1;
 618, 151, 31, 229.41478, 0.0032680538, 0, -1;
 787, 356, 31, 227.52521, 0.0051606395, 0, -1;
 160, 321, 31, 92.841713, 0.0032608407, 0, -1;
 743, 388, 31, 235.03821, 0.003160483, 0, -1;
 173, 164, 31, 291.33795, 0.0051466958, 0, -1;
 635, 143, 31, 319.70358, 0.0037058061, 0, -1;
 962, 154, 31, 87.895119, 0.0033542176, 0, -1;
 168, 408, 31, 243.14249, 0.0043600532, 0, -1;
 786, 387, 31, 262.53436, 0.0036429861, 0, -1;
 901, 387, 31, 246.86456, 0.0035569635, 0, -1;
 608, 129, 31, 294.2005, 0.0059504942, 0, -1;
 243, 174, 31, 141.15054, 0.0033321173, 0, -1;
 816, 150, 31, 274.20761, 0.0044933115, 0, -1;
 992, 113, 31, 12.335402, 0.0033612985, 0, -1;
 206, 185, 31, 63.88966, 0.0031914078, 0, -1;
 650, 131, 31, 94.921753, 0.0052446458, 0, -1;
 627, 164, 31, 68.938126, 0.0041667754, 0, -1;
 709, 201, 31, 313.5578, 0.0039990172, 0, -1;
 740, 299, 31, 183.68953, 0.0039429045, 0, -1;
 585, 161, 31, 252.24954, 0.0032437237, 0, -1;
 817, 134, 31, 309.67487, 0.0034836021, 0, -1;
 185, 358, 31, 256.16061, 0.0041646967, 0, -1;
 549, 160, 31, 310.17804, 0.00407553, 0, -1;
 758, 394, 31, 3.0151782, 0.0036177388, 0, -1;
 590, 151, 31, 268.31198, 0.003337787, 0, -1;
 895, 111, 31, 31.543776, 0.0045980536, 0, -1;
 127, 170, 31, 192.56114, 0.0045437822, 0, -1;
 758, 226, 31, 188.79945, 0.0032221379, 0, -1;
 129, 165, 31, 235.80945, 0.004856219, 0, -1;
 868, 221, 31, 4.0586424, 0.0034963083, 0, -1;
 771, 296, 31, 295.25031, 0.0038332005, 0, -1;
 839, 128, 31, 204.11127, 0.0034793499, 0, -1;
 866, 296, 31, 347.58823, 0.0042769504, 0, -1;
 145, 174, 31, 354.56305, 0.0036824301, 0, -1;
 143, 171, 31, 333.11169, 0.0049499297, 0, -1;
 805, 361, 31, 100.1322, 0.0040257839, 0, -1;
 714, 159, 31, 191.80035, 0.0034207744, 0, -1;
 936, 387, 31, 208.15154, 0.0039791879, 0, -1;
 533, 157, 31, 259.31546, 0.0035009417, 0, -1;
 224, 225, 31, 272.07242, 0.0037235231, 0, -1;
 145, 165, 31, 283.35135, 0.0046153772, 0, -1;
 786, 234, 31, 233.38904, 0.0042061498, 0, -1;
 918, 403, 31, 250.93839, 0.0037329628, 0, -1;
 918, 390, 31, 314.68323, 0.0043187877, 0, -1;
 194, 232, 31, 134.90981, 0.0039244834, 0, -1;
 585, 156, 31, 244.89926, 0.0034021446, 0, -1;
 202, 232, 31, 163.91313, 0.0042860052, 0, -1;
 188, 225, 31, 225.54269, 0.0053869477, 0, -1;
 816, 205, 31, 255.54938, 0.0043153046, 0, -1;
 821, 295, 31, 323.26584, 0.0035999694, 0, -1;
 760, 388, 31, 314.03165, 0.0034059223, 0, -1;
 151, 388, 31, 65.73703, 0.0047276882, 0, -1;
 624, 164, 31, 95.38871, 0.0037419447, 0, -1;
 840, 363, 31, 66.278488, 0.0039143031, 0, -1;
 865, 293, 31, 333.78729, 0.0033729542, 0, -1;
 207, 358, 31, 307.12128, 0.0038740491, 0, -1;
 514, 146, 31, 248.12604, 0.0043343916, 0, -1;
 621, 151, 31, 276.0332, 0.0032109709, 0, -1;
 743, 391, 31, 216.91141, 0.0041352152, 0, -1;
 831, 363, 31, 85.302841, 0.0048107943, 0, -1;
 178, 167, 31, 313.24368, 0.0036367038, 0, -1;
 307, 167, 31, 244.26889, 0.0035386442, 0, -1;
 149, 180, 31, 111.90878, 0.0057209446, 0, -1;
 823, 175, 31, 94.398727, 0.0035482994, 0, -1;
 832, 359, 31, 188.67055, 0.0032371285, 0, -1;
 520, 162, 31, 82.991478, 0.0046376656, 0, -1;
 242, 167, 31, 221.69542, 0.0033230984, 0, -1;
 743, 308, 31, 117.49769, 0.003587221, 0, -1;
 650, 137, 31, 31.440002, 0.0035974339, 0, -1;
 823, 170, 31, 96.63121, 0.0031518664, 0, -1;
 527, 283, 31, 140.47034, 0.0030708194, 0, -1;
 195, 229, 31, 192.14491, 0.0030326732, 0, -1;
 569, 151, 31, 262.10754, 0.0028097192, 0, -1;
 828, 149, 31, 261.70929, 0.0029131614, 0, -1;
 327, 171, 31, 125.93407, 0.0026974487, 0, -1;
 607, 170, 31, 76.213547, 0.0030616282, 0, -1;
 540, 160, 31, 334.16867, 0.0028697625, 0, -1;
 133, 180, 31, 109.10045, 0.002817682, 0, -1;
 836, 158, 31, 164.49298, 0.0030760297, 0, -1;
 800, 155, 31, 264.90594, 0.0027775466, 0, -1;
 832, 144, 31, 203.22652, 0.0030594554, 0, -1;
 956, 75, 31, 343.76743, 0.002990653, 0, -1;
 898, 251, 31, 320.43939, 0.0027892936, 0, -1;
 920, 386, 31, 311.49969, 0.0027526726, 0, -1;
 946, 391, 31, 348.63766, 0.0027877896, 0, -1;
 582, 160, 31, 277.94305, 0.0029053495, 0, -1;
 209, 224, 31, 241.09006, 0.0030605681, 0, -1;
 847, 128, 31, 322.70267, 0.0030875988, 0, -1;
 268, 163, 31, 302.02036, 0.0029970049, 0, -1;
 243, 162, 31, 247.49634, 0.0029337499, 0, -1;
 793, 345, 31, 284.25137, 0.0030820558, 0, -1;
 753, 297, 31, 268.70435, 0.0026889255, 0, -1;
 216, 163, 31, 259.86743, 0.0027312993, 0, -1;
 736, 159, 31, 114.91857, 0.003144328, 0, -1;
 772, 217, 31, 54.705048, 0.0027338876, 0, -1;
 808, 364, 31, 86.981712, 0.0028080589, 0, -1;
 282, 165, 31, 273.64734, 0.0029988487, 0, -1;
 643, 170, 31, 101.93747, 0.0028698116, 0, -1;
 814, 149, 31, 273.89691, 0.0027656681, 0, -1;
 810, 258, 31, 66.019478, 0.0026696452, 0, -1;
 711, 150, 31, 258.19714, 0.0026666308, 0, -1;
 740, 129, 31, 221.44563, 0.0026626922, 0, -1;
 773, 296, 31, 299.43216, 0.0026563113, 0, -1;
 507, 165, 31, 53.872002, 0.0026537222, 0, -1;
 584.40002, 160.8, 37.200001, 263.2182, 0.0042682537, 1, -1;
 226.8, 224.40001, 37.200001, 277.83719, 0.0040234402, 1, -1;
 817.20001, 201.60001, 37.200001, 278.23383, 0.0043151448, 1, -1;
 627.60004, 163.20001, 37.200001, 95.29084, 0.0033133258, 1, -1;
 855.60004, 385.20001, 37.200001, 272.56351, 0.0033230491, 1, -1;
 224.40001, 225.60001, 37.200001, 301.02759, 0.0048658685, 1, -1;
 526.80005, 152.40001, 37.200001, 324.85898, 0.0034687629, 1, -1;
 148.8, 180, 37.200001, 119.61612, 0.0041052978, 1, -1;
